image,initial_reprojection_error_px,kept
rgb1_000.png,0.24635247886180878,True
rgb1_001.png,0.20929859578609467,True
rgb1_002.png,0.15763598680496216,True
rgb1_003.png,0.15385760366916656,True
rgb1_004.png,0.16619707643985748,True
rgb1_005.png,0.20225048065185547,True
rgb1_006.png,0.21233385801315308,True
rgb1_007.png,0.2022404819726944,True
rgb1_008.png,0.23967880010604858,True
rgb1_009.png,0.28634753823280334,True
rgb1_010.png,0.5012854337692261,True
rgb1_011.png,0.32791224122047424,True
rgb1_012.png,0.33925893902778625,True
rgb1_013.png,0.43964365124702454,True
rgb1_014.png,0.3052922189235687,True
rgb1_015.png,0.25706180930137634,True
rgb1_016.png,0.20909635722637177,True
rgb1_017.png,0.18714050948619843,True
rgb1_018.png,0.24383112788200378,True
rgb1_019.png,0.18121059238910675,True
rgb1_020.png,0.4775025248527527,True
rgb1_021.png,0.2082863301038742,True
rgb1_022.png,0.36618170142173767,True
rgb1_023.png,0.3541375994682312,True
rgb1_024.png,0.18142469227313995,True
rgb1_025.png,0.16619838774204254,True
rgb1_026.png,0.18413826823234558,True
rgb1_027.png,0.280712753534317,True
rgb1_028.png,0.31640762090682983,True
rgb1_029.png,0.29204127192497253,True
rgb1_030.png,0.23927775025367737,True
rgb1_031.png,0.20806995034217834,True
rgb1_032.png,0.2759679853916168,True
rgb1_033.png,0.3170804977416992,True
rgb1_034.png,0.29069122672080994,True
rgb1_035.png,0.34616756439208984,True
rgb1_036.png,0.2459297478199005,True
